,portfolio_value,returns,cash
2025-08-25 00:00:00-04:00,10000.0,0.0,10000.0
2025-08-26 00:00:00-04:00,10000.0,0.0,10000.0
2025-08-27 00:00:00-04:00,10000.0,0.0,10000.0
2025-08-28 00:00:00-04:00,10000.0,0.0,10000.0
2025-08-29 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-02 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-03 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-04 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-05 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-08 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-09 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-10 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-11 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-12 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-15 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-16 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-17 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-18 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-19 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-22 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-23 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-24 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-25 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-26 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-29 00:00:00-04:00,10000.0,0.0,10000.0
2025-09-30 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-01 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-02 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-03 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-06 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-07 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-08 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-09 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-10 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-13 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-14 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-15 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-16 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-17 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-20 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-21 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-22 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-23 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-24 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-27 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-28 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-29 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-30 00:00:00-04:00,10000.0,0.0,10000.0
2025-10-31 00:00:00-04:00,10000.0,0.0,10000.0
2025-11-03 00:00:00-05:00,10000.0,0.0,10000.0
2025-11-04 00:00:00-05:00,10000.0,0.0,10000.0
2025-11-05 00:00:00-05:00,10000.0,0.0,10000.0
2025-11-06 00:00:00-05:00,9950.186876947284,-0.004981312305271604,0.0
2025-11-07 00:00:00-05:00,9902.237885860592,-0.0048189035723320076,0.0
2025-11-10 00:00:00-05:00,9947.279989784098,0.004548679242277322,0.0
2025-11-11 00:00:00-05:00,10111.405781057743,0.016499564850110126,10111.405781057743
2025-11-12 00:00:00-05:00,10111.405781057743,0.0,10111.405781057743
2025-11-13 00:00:00-05:00,10111.405781057743,0.0,10111.405781057743
2025-11-14 00:00:00-05:00,10061.037711016967,-0.004981312305271541,0.0
2025-11-17 00:00:00-05:00,9878.216746972235,-0.01817118365877308,0.0
2025-11-18 00:00:00-05:00,9877.478483994902,-7.473646268787696e-05,0.0
2025-11-19 00:00:00-05:00,9869.311527114442,-0.0008268260866064514,9869.311527114442
2025-11-20 00:00:00-05:00,9820.149404159867,-0.004981312305271644,0.0
2025-11-21 00:00:00-05:00,10013.416960884379,0.019680714495305163,0.0
2025-11-24 00:00:00-05:00,10176.810349138586,0.01631744577225485,0.0
2025-11-25 00:00:00-05:00,10164.523409531683,-0.0012073468194230073,10164.523409531683
2025-11-26 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-11-28 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-01 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-02 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-03 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-04 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-05 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-08 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-09 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-10 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-11 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-12 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-15 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-16 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
2025-12-17 00:00:00-05:00,10164.523409531683,0.0,10164.523409531683
0,---,---,---
count,125.0,125.0,125.0
mean,10019.701742652429,0.000136027766754482,9302.687227382357
std,66.66328718105864,0.0033290071849083384,2602.2737616651093
min,9820.149404159867,-0.01817118365877308,0.0
25%,10000.0,0.0,10000.0
50%,10000.0,0.0,10000.0
75%,10000.0,0.0,10000.0
max,10176.810349138586,0.019680714495305163,10164.523409531683
